firstName,gender,hireDate,lastLoginTime,salary,bonusPercentage,seniorManagement
Maria,Female,4/23/1993,11:17 AM,130590,11.858,false
Jerry,Male,3/4/2005,1:00 PM,138705,9.34,true
,Female,7/20/2015,10:43 AM,45906,11.598,
Kimberly,Female,1/14/1999,7:13 AM,41426,14.543,true
Bruce,Male,11/28/2009,10:47 PM,114796,6.796,false
Alan,,3/3/2014,1:28 PM,40341,17.578,true
Carl,Male,5/3/2006,5:55 PM,130276,16.084,true
Rachel,Female,8/16/1999,6:53 AM,51178,9.735,true
Jose,Male,10/30/2004,1:39 PM,84834,14.33,true
Irene,,7/14/2015,4:31 PM,100863,4.382,true
Shawn,Male,9/23/2005,2:55 AM,148115,6.539,true
Doris,Female,8/20/2004,5:51 AM,83072,7.511,false
Cynthia,Female,3/21/1994,8:34 AM,142321,1.737,false
Melissa,Female,6/21/2005,6:33 AM,48109,14.995,false
Phyllis,Female,10/11/1996,9:30 PM,136984,8.932,true
Kathy,Female,3/9/1996,4:33 AM,91712,8.567,false
Steven,Male,3/1/1995,3:03 PM,109095,9.494,false
Elizabeth,Female,10/9/2003,5:53 PM,146129,5.687,false
Victor,,3/10/2011,8:40 PM,84546,10.489,true
Kathy,Female,3/18/2000,7:26 PM,149563,16.991,true
Sara,Female,9/23/1991,6:17 PM,97058,9.402,false
Jessica,Female,10/23/1995,5:53 AM,68759,19.343,true
Carol,Female,3/19/1996,3:39 AM,57783,9.129,false
Gary,Male,8/12/1987,12:04 AM,89661,8.525,false
Brandon,Male,3/27/2006,5:54 PM,115711,8.012,true
Gregory,,6/15/1992,5:08 AM,98865,10.628,true
Billy,Male,3/13/1995,12:05 PM,120444,7.768,true
Jason,Male,10/17/1999,10:09 PM,78417,3.067,false
Kathy,Female,4/19/1995,12:46 AM,50905,9.404,true
Walter,Male,7/6/1983,11:54 PM,127813,5.961,false
Irene,Female,3/3/1982,8:26 AM,56526,5.81,true
Christine,Female,7/3/1989,4:01 AM,94345,11.996,false
Todd,Male,2/2/1984,10:13 AM,69989,10.985,true
Jeremy,Male,8/12/1981,12:05 AM,46930,18.702,true
Ernest,,1/18/2002,1:51 AM,72145,13.448,true
Roy,Male,8/6/2006,7:52 AM,148225,1.841,false
Samuel,Male,12/19/1991,2:54 AM,76076,5.319,true
Robert,Male,11/18/2014,5:00 AM,85799,19.93,false
Carlos,Male,9/19/2007,1:01 AM,77327,11.58,true
Philip,Male,8/2/1989,11:21 AM,129968,19.897,false
Justin,,4/15/2005,8:43 PM,96978,13.865,false
Kathryn,Female,6/9/1988,9:29 AM,86439,7.799,false
Sharon,Female,3/9/2014,4:39 PM,91522,7.564,false
Shirley,,11/16/1990,6:01 PM,67811,12.699,false
Julia,Female,3/2/1982,12:52 PM,36403,2.664,true
Justin,Male,5/22/1986,6:30 AM,121508,19.334,true
Alice,Female,5/2/1986,1:50 AM,51395,2.378,true
Christopher,Male,5/13/1999,10:48 AM,68028,7.869,true
Kathryn,Female,8/29/2007,6:10 AM,53061,11.864,true
Julie,Female,4/23/1998,5:52 AM,73437,2.518,true
Albert,Male,9/30/2007,5:34 PM,102626,15.843,false
Ashley,Female,8/15/1997,9:48 PM,142415,1.985,true
Craig,Male,11/1/2005,11:31 PM,44857,13.266,false
Barbara,Female,3/22/2004,8:11 AM,144677,8.696,false
,Female,12/2/2009,3:30 AM,84746,4.82,
Evelyn,Female,9/22/1998,7:55 PM,51525,10.366,false
Sara,Female,2/25/1980,10:50 PM,75484,3.186,false
Harry,Male,11/19/1982,11:25 AM,59277,10.2,false
Nancy,Female,5/7/1985,10:20 PM,121006,3.512,true
Teresa,,1/3/1992,3:47 PM,63103,11.378,false
Peter,Male,11/24/1992,5:43 PM,69297,1.268,false
Ralph,Male,3/7/2012,2:25 AM,81215,8.4,false
Amanda,,3/16/2010,9:17 AM,135118,15.108,false
Katherine,Female,8/13/1996,12:21 AM,149908,18.912,false
Elizabeth,Female,2/21/2010,7:02 AM,79145,19.78,false
Ruth,Female,2/17/2004,5:38 AM,59969,14.064,true
Cynthia,Female,7/5/1986,1:24 AM,35381,11.749,false
,Male,10/20/1989,9:37 AM,88086,19.387,
Paul,,2/18/2011,12:23 PM,91462,18.704,false
Julie,,5/8/1980,6:31 AM,50529,17.263,false
Joan,Female,10/2/2007,2:53 AM,120941,3.694,true
Debra,Female,3/17/2011,1:12 PM,84693,6.976,true
Edward,Male,11/27/1997,1:00 AM,58327,17.095,true
Jeremy,Male,5/19/1991,1:40 PM,131513,1.876,true
Ann,Female,7/16/2001,9:27 AM,118431,12.772,true
Henry,Male,5/12/1986,2:04 AM,59943,1.432,false
Judy,,7/15/2011,3:38 PM,46829,5.19,true
Alice,,4/23/1995,6:35 AM,148339,11.479,true
,Male,10/24/1986,9:23 AM,47176,10.736,
Rose,Female,11/3/1999,9:06 AM,75181,6.06,true
Fred,Male,3/3/1989,2:27 AM,129712,11.058,false
Mary,Female,11/6/2011,8:32 AM,115057,2.089,false
George,Male,9/27/1995,5:04 PM,36749,19.754,false
Kenneth,Male,1/15/2015,2:41 PM,69112,7.588,true
Carolyn,Female,3/17/2004,6:38 AM,118037,13.492,false
Joseph,Male,5/23/1985,10:16 PM,139570,15.804,true
Nicole,,5/2/1981,12:03 PM,41449,4.707,false
Harry,Male,2/10/1985,7:46 PM,63046,10.411,false
Bonnie,,1/18/2006,6:52 PM,108946,12.211,false
Jerry,Male,3/26/1989,4:15 AM,140850,18.855,false
Robert,,5/25/2007,3:17 AM,90998,8.382,false
Lisa,Female,10/17/2003,1:42 PM,73706,18.53,false
Margaret,Female,1/4/2001,3:07 AM,126924,1.552,true
,Male,11/24/2015,3:11 AM,145329,7.1,
Timothy,Male,8/25/1991,10:37 AM,92587,8.475,false
